   1.0000000e+00	   1.3741300e+02	
   2.0000000e+00	   1.3744600e+02	
   3.0000000e+00	   1.3734400e+02	
   4.0000000e+00	   1.3742200e+02	
   5.0000000e+00	   1.3740800e+02	
   6.0000000e+00	   1.3736700e+02	
   7.0000000e+00	   1.3738900e+02	
   8.0000000e+00	   1.3740900e+02	
   9.0000000e+00	   1.3748900e+02	
   1.0000000e+01	   1.3746900e+02	
   1.1000000e+01	   1.3736600e+02	
   1.2000000e+01	   1.3747600e+02	
   1.3000000e+01	   1.3741800e+02	
   1.4000000e+01	   1.3739800e+02	
   1.5000000e+01	   1.3741800e+02	
   1.6000000e+01	   1.3739500e+02	
   1.7000000e+01	   1.3739700e+02	
   1.8000000e+01	   1.3743700e+02	
   1.9000000e+01	   1.3743500e+02	
   2.0000000e+01	   1.3743500e+02	
   2.1000000e+01	   1.3741700e+02	
   2.2000000e+01	   1.3737000e+02	
   2.3000000e+01	   1.3741800e+02	
   2.4000000e+01	   1.3744100e+02	
   2.5000000e+01	   1.3741200e+02	
   2.6000000e+01	   1.3742600e+02	
   2.7000000e+01	   1.3741800e+02	
   2.8000000e+01	   1.3739200e+02	
   2.9000000e+01	   1.3740700e+02	
   3.0000000e+01	   1.3738000e+02	
